MemCellType,numRowSubArray/numColSubArray,Layer1,Layer2,Layer3,Layer4,Layer5,Layer6,Layer7,Layer8,Layer9,Layer10,Layer11,Layer12,Layer13,Layer14,Layer15,Layer16,Layer17,Layer18,Layer19,Layer20,Layer21,Layer22,Layer23,Layer24,Layer25,Layer26,Layer27,Layer28,Layer29,Layer30,Layer31,Layer32,Layer33,Layer34,Layer35,Layer36,Layer37,Layer38,Layer39,Layer40
1,64,1.83828u,3.67657u,84.7004u,3.67657u,74.3064u,3.67657u,64.7925u,3.67657u,136.486u,3.67657u,143.958u,3.67657u,150.863u,3.67657u,2.83462u,36.3376u,2.80164u,72.5119u,2.76867u,72.4281u,2.73569u,72.3444u,2.70272u,72.262u,2.66974u,72.1797u,2.55179u,3.59436u,89.0882u,3.58609u,89.0726u,3.57788u,89.0569u,3.5696u,89.0413u,3.56139u,89.0271u,3.55312u,133.596u,4.13909u
1,128,1.83828u,3.67657u,96.8173u,3.67657u,91.715u,3.67657u,87.0484u,3.67657u,181.717u,3.67657u,186.675u,3.67657u,191.255u,3.67657u,2.70242u,35.4437u,2.67165u,70.9057u,2.64089u,70.8279u,2.61012u,70.7502u,2.57936u,70.6738u,2.5486u,70.5975u,2.43887u,3.40584u,84.0654u,3.39813u,84.0509u,3.39046u,84.0364u,3.38274u,84.0218u,3.37508u,84.0087u,3.36736u,126.064u,4.02567u
1,256,1.83828u,3.67657u,96.6873u,3.67657u,94.434u,3.67657u,92.4012u,3.67657u,195.153u,3.67657u,200.184u,3.67657u,204.786u,3.67657u,2.97675u,35.4541u,2.93645u,71.0411u,2.89616u,70.9539u,2.85586u,70.8667u,2.81557u,70.781u,2.77527u,70.6953u,2.65473u,3.82541u,84.3341u,3.8153u,84.3178u,3.80526u,84.3015u,3.79515u,84.2852u,3.78511u,84.2704u,3.775u,126.463u,4.87228u
1,512,3.67657u,7.35314u,78.5094u,7.35314u,79.0551u,7.35314u,79.5356u,7.35314u,174.331u,7.35314u,181.193u,7.35314u,187.315u,7.35314u,5.51953u,32.6111u,5.42449u,65.4515u,5.32944u,65.3476u,5.2344u,65.2437u,5.13936u,65.1416u,5.04432u,65.0396u,4.85765u,7.2245u,80.0714u,7.20066u,80.052u,7.17698u,80.0325u,7.15313u,80.0131u,7.12946u,79.9955u,7.10561u,120.062u,9.32389u
1,1024,7.35314u,14.7063u,126.074u,14.7063u,131.648u,14.7063u,136.408u,14.7063u,306.5u,14.7063u,321.064u,14.7063u,333.856u,14.7063u,10.5629u,57.4999u,10.3568u,115.531u,10.1508u,115.327u,9.94468u,115.124u,9.7386u,114.923u,9.53253u,114.723u,9.21852u,13.9835u,143.137u,13.9318u,143.099u,13.8804u,143.061u,13.8287u,143.023u,13.7774u,142.989u,13.7257u,214.618u,18.1892u
2,64,0u,0u,61.7033u,0u,41.4863u,0u,22.9867u,0u,70.3563u,0u,83.3362u,0u,95.323u,0u,2.61358u,45.6992u,2.56859u,91.5802u,2.5236u,91.31u,2.47861u,91.0399u,2.43361u,90.7749u,2.38862u,90.5074u,2.22768u,3.65022u,127.007u,3.63894u,126.959u,3.62773u,126.907u,3.61644u,126.856u,3.60523u,126.811u,3.59394u,190.586u,4.29027u
2,128,0u,0u,79.9588u,0u,71.026u,0u,62.8595u,0u,145.732u,0u,152.125u,0u,158.02u,0u,2.05894u,38.15u,2.02342u,76.6996u,1.9879u,76.4919u,1.95238u,76.2843u,1.91686u,76.0806u,1.88134u,75.8749u,1.75465u,2.8711u,98.4543u,2.86219u,98.4171u,2.85334u,98.3778u,2.84443u,98.3386u,2.83558u,98.3033u,2.82667u,147.74u,3.52837u
2,256,0u,0u,74.0158u,0u,71.5012u,0u,69.2333u,0u,152.26u,0u,159.216u,0u,165.578u,0u,2.36537u,33.4737u,2.31905u,67.117u,2.27272u,67.0058u,2.2264u,66.8945u,2.18008u,66.7852u,2.13375u,66.6759u,1.99518u,3.34096u,86.028u,3.32934u,86.0072u,3.3178u,85.9864u,3.30618u,85.9656u,3.29464u,85.9467u,3.28302u,128.994u,4.43151u
2,512,0u,0u,50.1363u,0u,50.7386u,0u,51.269u,0u,119.382u,0u,126.956u,0u,133.714u,0u,3.89049u,26.866u,3.79004u,53.9849u,3.6896u,53.8703u,3.58915u,53.7556u,3.48871u,53.643u,3.38827u,53.5303u,3.19099u,5.69237u,70.1228u,5.66717u,70.1014u,5.64215u,70.08u,5.61695u,70.0586u,5.59192u,70.0391u,5.56673u,105.135u,7.82531u
2,1024,0u,0u,59.7987u,0u,65.3183u,0u,70.0334u,0u,173.609u,0u,188.09u,0u,200.809u,0u,6.94357u,40.891u,6.73598u,82.312u,6.5284u,82.1088u,6.32081u,81.9055u,6.11323u,81.7058u,5.90564u,81.5061u,5.58933u,10.3892u,109.852u,10.3371u,109.814u,10.2854u,109.776u,10.2333u,109.738u,10.1816u,109.704u,10.1295u,164.69u,14.6037u
