MemCellType,numRowSubArray/numColSubArray,Layer1,Layer2,Layer3,Layer4,Layer5,Layer6,Layer7,Layer8,Layer9,Layer10,Layer11,Layer12,Layer13,Layer14,Layer15,Layer16,Layer17,Layer18,Layer19,Layer20,Layer21,Layer22,Layer23,Layer24,Layer25,Layer26,Layer27,Layer28,Layer29,Layer30,Layer31,Layer32,Layer33,Layer34,Layer35,Layer36,Layer37,Layer38,Layer39,Layer40
1,64,27430.6,52651.2,28540,55621.7,35483.1,58592.1,42426.2,61562.6,44793.1,64533.1,44872,67503.5,44950.8,70205,15010.2,9717.87,15761.2,10263.4,16512.2,10280.6,17263.2,10297.8,18014.3,10314.9,18765.3,10332.1,22324.2,3940.07,1884.8,4127.82,1887.95,4315.58,1891.1,4503.33,1894.25,4691.09,1897.41,4878.84,1874.55,42.137
1,128,26966,52614,19577.5,55594.2,23524.6,58574.4,27471.7,61554.7,28840.2,64534.9,28919.3,67515.1,28998.3,70225.5,14849.1,6244.78,15602.6,6558.62,16356.1,6575.84,17109.6,6593.06,17863.1,6610.28,18616.6,6627.5,22187.3,3900.54,1204.51,4088.92,1207.67,4277.29,1210.84,4465.66,1214,4654.03,1217.16,4842.41,1194.23,41.807
1,256,22370.2,42680.5,14283.4,45678.8,16450.1,48677.1,18616.8,51675.5,19392.2,54673.8,19471.8,57672.2,19551.3,60398.9,12289.4,4198.81,13047.5,4375.85,13805.6,4393.17,14563.6,4410.5,15321.7,4427.83,16079.8,4445.15,19038.5,3261.87,803.564,3451.39,806.746,3640.91,809.928,3830.42,813.111,4019.94,816.293,4209.46,793.222,39.9985
1,512,15498.1,26643.8,12409.5,29901.9,13726.8,33160,15044.2,36418.1,15540.9,39676.2,15627.3,42934.3,15713.8,45897.3,8373.72,3371.44,9197.47,3484.27,10021.2,3503.1,10845,3521.92,11668.7,3540.75,12492.4,3559.57,14478,2299.11,639.581,2505.05,643.039,2710.98,646.497,2916.92,649.955,3122.86,653.413,3328.79,628.343,39.4615
1,1024,16704.3,25934.6,15067.3,30582,16068.4,35229.4,17069.6,39876.8,17485.6,44524.1,17608.9,49171.5,17732.2,53398,8893.39,3804.86,10068.4,3898.76,11243.4,3925.61,12418.4,3952.47,13593.4,3979.32,14768.4,4006.17,16849.1,2516.91,715.741,2810.66,720.673,3104.41,725.605,3398.16,730.538,3691.91,735.47,3985.66,699.71,53.8417
2,64,26947.2,51723.3,28037,54641.4,34857.8,57559.5,41678.5,60477.6,44003.7,63395.7,44081.1,66313.8,44158.5,68967.6,14745.6,9546.6,15483.4,10082.5,16221.2,10099.4,16959,10116.3,17696.8,10133.1,18434.6,10150,21930.8,3870.62,1851.58,4055.07,1854.67,4239.52,1857.77,4423.96,1860.87,4608.41,1863.97,4792.86,1841.51,41.3944
2,128,26472,51650.2,19218.8,54575.8,23093.7,57501.4,26968.4,60427.1,28311.9,63352.7,28389.5,66278.3,28467.1,68939,14577.1,6130.38,15316.8,6438.47,16056.5,6455.38,16796.2,6472.28,17535.9,6489.19,18275.6,6506.09,21780.8,3829.09,1182.45,4014.01,1185.55,4198.93,1188.66,4383.86,1191.76,4568.78,1194.87,4753.7,1172.35,41.0412
2,256,21931,41842.4,14002.9,44781.9,16127.1,47721.4,18251.3,50660.8,19011.4,53600.3,19089.4,56539.8,19167.4,59213,12048.1,4116.37,12791.3,4289.93,13534.5,4306.92,14277.7,4323.9,15020.9,4340.89,15764,4357.87,18664.7,3197.82,787.786,3383.62,790.906,3569.42,794.026,3755.21,797.145,3941.01,800.265,4126.81,777.647,39.2131
2,512,14105.8,24250.2,11294.7,27215.6,12493.6,30181.1,13692.7,33146.5,14144.8,36111.9,14223.5,39077.3,14302.1,41774.1,7621.47,3068.57,8371.21,3171.26,9120.96,3188.39,9870.7,3205.53,10620.4,3222.66,11370.2,3239.8,13177.4,2092.57,582.124,2280.01,585.271,2467.44,588.419,2654.88,591.566,2842.31,594.713,3029.75,571.896,35.9165
2,1024,10837.2,16825.6,9775.19,19840.7,10424.7,22855.8,11074.3,25870.8,11344.1,28885.9,11424.1,31901,11504.1,34643,5769.76,2468.48,6532.06,2529.4,7294.37,2546.82,8056.67,2564.24,8818.97,2581.66,9581.28,2599.08,10931.2,1632.9,464.351,1823.47,467.551,2014.05,470.751,2204.63,473.951,2395.2,477.151,2585.78,453.951,34.9309
