MemCellType,numRowSubArray/numColSubArray,Layer1,Layer2,Layer3,Layer4,Layer5,Layer6,Layer7,Layer8,Layer9,Layer10,Layer11,Layer12,Layer13,Layer14,Layer15,Layer16,Layer17,Layer18,Layer19,Layer20,Layer21,Layer22,Layer23,Layer24,Layer25,Layer26,Layer27,Layer28,Layer29,Layer30,Layer31,Layer32,Layer33,Layer34,Layer35,Layer36,Layer37,Layer38,Layer39,Layer40
1,64,1975.12,3980.23,16800.5,4436.6,20310.8,4892.97,23821.1,5349.33,32834.4,5805.7,36344.7,6262.06,39855,6310.63,1223.04,5181.1,1337.13,7137.09,1451.22,7902.26,1565.31,8664.9,1679.4,9430.08,1793.5,10195.3,1971.88,334.079,1298.05,362.602,1439.68,391.125,1578.77,419.648,1720.4,448.171,1859.49,476.694,2173.04,3.95189
1,128,1979.31,3989.67,16729.2,4446.03,20217.4,4902.4,23700.7,5358.77,32691.9,5815.13,36180.1,6271.5,39668.2,6320.06,1224.95,5153.53,1339.04,7102.61,1453.13,7863.21,1567.23,8623.81,1681.32,9384.41,1795.41,10140.1,1974.6,334.631,1292.85,363.154,1433.55,391.677,1574.25,420.199,1710.07,448.722,1850.76,477.245,2165.91,3.683
1,256,2119.55,4309.45,16694.2,4765.82,20165.8,5222.18,23637.4,5678.55,32621.8,6134.91,36093.4,6591.28,39574.8,6639.84,1304.51,5135.94,1418.6,7082.48,1532.69,7845.41,1646.78,8598.59,1760.87,9361.52,1874.96,10114.7,2074.17,354.13,1290.05,382.653,1425.4,411.176,1570.51,439.699,1705.86,468.222,1841.22,496.745,2160.78,3.74817
1,512,2118.51,4307.37,16655.9,4763.74,20111.8,5220.1,23586.3,5676.47,32526.6,6132.84,36001.1,6589.2,39457,6637.76,1304.51,5117.54,1418.6,7062.35,1532.69,7813.79,1646.78,8565.24,1760.87,9316.69,1874.96,10086.8,2074.17,353.092,1275.87,381.615,1405.88,410.138,1554.58,438.661,1684.59,467.183,1833.29,495.706,2137.76,3.74817
1,1024,2118.51,4305.3,16655.9,4761.66,20093.1,5218.03,23567.7,5674.39,32507.9,6130.76,35982.5,6587.13,39457,6635.69,1302.43,5098.85,1416.52,7024.96,1530.61,7795.1,1644.7,8527.86,1758.8,9298,1872.89,10068.1,2072.09,351.015,1275.87,379.538,1405.88,408.061,1535.89,436.584,1665.9,465.106,1833.29,493.629,2137.76,3.74817
2,64,1975.12,3980.23,16800.5,4436.6,20310.8,4892.97,23821.1,5349.33,32834.4,5805.7,36344.7,6262.06,39855,6310.63,1223.04,5181.1,1337.13,7137.09,1451.22,7902.26,1565.31,8664.9,1679.4,9430.08,1793.5,10195.3,1971.88,334.079,1298.05,362.602,1439.68,391.125,1578.77,419.648,1720.4,448.171,1859.49,476.694,2173.04,3.95189
2,128,1979.31,3989.67,16729.2,4446.03,20217.4,4902.4,23700.7,5358.77,32691.9,5815.13,36180.1,6271.5,39668.2,6320.06,1224.95,5153.53,1339.04,7102.61,1453.13,7863.21,1567.23,8623.81,1681.32,9384.41,1795.41,10140.1,1974.6,334.631,1292.85,363.154,1433.55,391.677,1574.25,420.199,1710.07,448.722,1850.76,477.245,2165.91,3.683
2,256,2119.55,4309.45,16694.2,4765.82,20165.8,5222.18,23637.4,5678.55,32621.8,6134.91,36093.4,6591.28,39574.8,6639.84,1304.51,5135.94,1418.6,7082.48,1532.69,7845.41,1646.78,8598.59,1760.87,9361.52,1874.96,10114.7,2074.17,354.13,1290.05,382.653,1425.4,411.176,1570.51,439.699,1705.86,468.222,1841.22,496.745,2160.78,3.74817
2,512,2118.51,4307.37,16655.9,4763.74,20111.8,5220.1,23586.3,5676.47,32526.6,6132.84,36001.1,6589.2,39457,6637.76,1304.51,5117.54,1418.6,7062.35,1532.69,7813.79,1646.78,8565.24,1760.87,9316.69,1874.96,10086.8,2074.17,353.092,1275.87,381.615,1405.88,410.138,1554.58,438.661,1684.59,467.183,1833.29,495.706,2137.76,3.74817
2,1024,2118.51,4305.3,16655.9,4761.66,20093.1,5218.03,23567.7,5674.39,32507.9,6130.76,35982.5,6587.13,39457,6635.69,1302.43,5098.85,1416.52,7024.96,1530.61,7795.1,1644.7,8527.86,1758.8,9298,1872.89,10068.1,2072.09,351.015,1275.87,379.538,1405.88,408.061,1535.89,436.584,1665.9,465.106,1833.29,493.629,2137.76,3.74817
