MemCellType,numRowSubArray/numColSubArray,Layer1,Layer2,Layer3,Layer4,Layer5,Layer6,Layer7,Layer8
1,64,8333.95,67915.8,29543.7,42371.1,15548.5,24962.1,3301.2,27.3713
1,128,8275.9,67666.7,29430.8,42258.1,15517.6,24931.1,3256.62,26.8018
1,256,8988.61,67542.2,29376.5,42203.9,15497.6,24911.2,3168.59,26.8637
1,512,8860.45,67385.1,29299.5,42126.9,15412.7,24826.3,2859.22,26.8529
1,1024,8860.45,67385.1,29224.7,42052.1,15412.7,24826.3,2327.53,26.8529
2,64,8333.95,67915.8,29543.7,42371.1,15548.5,24962.1,3301.2,27.3713
2,128,8275.9,67666.7,29430.8,42258.1,15517.6,24931.1,3256.62,26.8018
2,256,8988.61,67542.2,29376.5,42203.9,15497.6,24911.2,3168.59,26.8637
2,512,8860.45,67385.1,29299.5,42126.9,15412.7,24826.3,2859.22,26.8529
2,1024,8860.45,67385.1,29224.7,42052.1,15412.7,24826.3,2327.53,26.8529
