MemCellType,numRowSubArray/numColSubArray,Layer1,Layer2,Layer3,Layer4,Layer5,Layer6,Layer7,Layer8
1,64,24095,16888.7,13491.8,12445,4612.62,8638.63,195.462,172.405
1,128,23752.5,16897.4,13526,12475.7,4625.92,8665.16,195.636,172.935
1,256,23684.7,16976.4,13603,12546.4,4653.08,8716.87,196.589,173.968
1,512,25506.1,18421.6,14776,13627.8,5055.17,9471.02,213.364,189.019
1,1024,36382.1,26276.7,21076.6,19438.8,7210.75,13509.6,304.345,269.619
2,64,41004.7,45996,37670.3,35613.6,13164.5,25174.7,362.699,323.531
2,128,23317.4,31381.6,26165.8,23863.3,8966.44,16808.6,192.052,169.76
2,256,23219.6,29550.9,24579.9,23544,8693.61,16807.6,192.729,170.552
2,512,23214.7,16766.7,13448.6,12403.5,4601.04,8620.19,194.197,172.039
2,1024,23603.6,17047.5,13673.8,12611.3,4678.12,8764.59,197.45,174.92
