MemCellType,numRowSubArray/numColSubArray,Layer1,Layer2,Layer3,Layer4,Layer5,Layer6,Layer7,Layer8,Layer9,Layer10,Layer11,Layer12,Layer13,Layer14,Layer15,Layer16,Layer17,Layer18,Layer19,Layer20,Layer21,Layer22,Layer23,Layer24,Layer25,Layer26,Layer27,Layer28,Layer29,Layer30,Layer31,Layer32,Layer33,Layer34,Layer35,Layer36,Layer37,Layer38,Layer39,Layer40
1,64,36391.7,72683.3,481240,77104.4,587507,81525.5,693774,85946.7,850489,90367.8,956756,94788.9,1063020,76819.1,20381.4,151089,21486.7,185218,22591.9,208360,23697.2,231503,24802.5,254645,25907.8,277788,24006,5371.67,34019.6,5647.99,38270.2,5924.31,42520.9,6200.62,46771.6,6476.94,51022.3,6753.26,50446.9,58.2736
1,128,30869.6,60986,379792,65020.7,456376,69055.4,532961,73090.2,657754,77124.9,734338,81159.6,810923,64698.1,17263.9,116067,18272.5,143244,19281.2,159923,20289.9,176601,21298.6,193279,22307.3,209958,20218.2,4568.14,26310.2,4820.31,29373.5,5072.48,32436.9,5324.65,35500.3,5576.82,38563.6,5828.99,37332.4,52.1328
1,256,41121.1,81042.4,355131,86680.5,421235,92318.7,487338,97956.8,606716,103595,672820,109233,738923,87291.2,23079.7,106131,24489.2,132129,25898.7,146525,27308.3,160921,28717.8,175317,30127.4,189713,27278.5,6122.3,24268.6,6474.69,26912.8,6827.07,29556.9,7179.46,32201.1,7531.84,34845.2,7884.23,33292.5,71.0255
1,512,56023.1,110201,304025,118329,355774,126458,407522,134587,509953,142715,561702,150844,613450,121197,31614.5,88749.3,33646.6,111056,35678.8,122326,37710.9,133596,39743.1,144866,41775.2,156135,37874.2,8411.66,20398.1,8919.7,22468.1,9427.73,24538,9935.77,26608,10443.8,28677.9,10951.8,26780.3,99.178
1,1024,78021.9,153277,419819,165378,487585,177479,555352,189581,706232,201682,773999,213784,841765,173319,44369.9,120943,47395.2,153802,50420.6,168560,53446,183318,56471.4,198076,59496.7,212834,54162.2,11848.8,28249.3,12605.2,30959.9,13361.5,33670.6,14117.8,36381.3,14874.2,39091.9,15630.5,36974.6,141.964
2,64,100366,199061,1219300,212820,1459120,226580,1698930,240339,2128350,254099,2368160,267858,2607980,217625,56644.9,369990,60084.8,463507,63524.7,515734,66964.5,567960,70404.4,620187,73844.3,672414,68007.9,15021.2,85133.9,15881.2,94726.6,16741.1,104319,17601.1,113912,18461.1,123505,19321,121721,170.604
2,128,66810.5,131762,798468,140947,950267,150132,1102070,159317,1379990,168501,1531790,177686,1683590,142411,37532.9,240006,39829.1,300531,42125.4,333589,44421.6,366648,46717.9,399707,49014.1,432765,44503.5,9957.28,55199.5,10531.3,61271.5,11105.4,67343.5,11679.5,73415.5,12253.5,79487.5,12827.6,77346.5,115.308
2,256,70710.5,139388,609409,149199,722079,159009,834748,168820,1044700,178631,1157370,188441,1270040,151088,39752.3,181790,42205,227512,44657.6,252049,47110.3,276585,49563,301122,52015.6,325659,47215.1,10551.2,41787.8,11164.4,46294.6,11777.6,50801.4,12390.7,55308.2,13003.9,59815,13617.1,57572.1,122.572
2,512,77869.8,153391,419943,164370,493826,175348,567708,186327,707933,197306,781815,208284,855697,167161,43837.1,123634,46581.7,154172,49326.4,170262,52071,186352,54815.7,202442,57560.3,218532,52237.9,11645.4,28317.3,12331.6,31272.6,13017.8,34227.9,13703.9,37183.2,14390.1,40138.5,15076.2,37683.6,135.983
2,1024,90567.9,178237,484764,191341,568050,204445,651337,217549,816683,230653,899970,243757,983256,196061,51111.2,141847,54387.2,177855,57663.2,195993,60939.2,214131,64215.2,232269,67491.2,250407,61269.1,13596.8,32667.3,14415.8,35998.8,15234.8,39330.2,16053.8,42661.7,16872.8,45993.2,17691.8,43266.5,159.988
