MemCellType,numRowSubArray/numColSubArray,Layer1,Layer2,Layer3,Layer4,Layer5,Layer6,Layer7,Layer8
1,64,341725,1535300.00,675935,785896,291351,374794,44895.1,735.696
1,128,279924,1194700.00,526930,632347,23470,314567,34939.2,666.58
1,256,268538.00,1111960.00,491000,608074,225828,314296,33028.2,686.854
1,512,237512,938552.00,415122,526524,195742,279914,27754.8,645.93
1,1024,327623,1324230.00,585382,769844,285962,424647,41565.4,929.246
2,64,921164,3936940.00,1734770.00,2155180.00,799054,1115280.00,122379,2232.59
2,128,606619,2548970.00,1124220.00,1403190.00,520601,730707,78236.3,1527.61
2,256,466945,1926990.00,850548.00,1065290.00,395457,557350,58472,1205.01
2,512,330939,1298290.00,573994,719590,267467,377564,38056.1,880.295
2,1024,383379,1507190.00,666328,847086,314798,451223,45043.1,1038.09
