MemCellType,numRowSubArray/numColSubArray,Layer1,Layer2,Layer3,Layer4,Layer5,Layer6,Layer7,Layer8,Layer9,Layer10,Layer11,Layer12,Layer13,Layer14,Layer15,Layer16,Layer17,Layer18,Layer19,Layer20,Layer21,Layer22,Layer23,Layer24,Layer25,Layer26,Layer27,Layer28,Layer29,Layer30,Layer31,Layer32,Layer33,Layer34,Layer35,Layer36,Layer37,Layer38,Layer39,Layer40
1,64,178.792,357.585,8238,357.585,7227.07,357.585,6301.75,357.585,13274.7,357.585,14001.4,357.585,14673.1,357.585,275.696,3534.21,272.489,7052.54,269.282,7044.39,266.075,7036.24,262.868,7028.24,259.661,7020.23,248.188,349.589,8664.76,348.785,8663.24,347.986,8661.72,347.181,8660.19,346.382,8658.81,345.578,12993.6,402.57
1,128,178.663,357.326,9409.67,357.326,8913.78,357.326,8460.23,357.326,17661.1,357.326,18143,357.326,18588.1,357.326,262.648,3444.77,259.658,6891.32,256.668,6883.77,253.678,6876.21,250.688,6868.79,247.698,6861.37,237.033,331.014,8170.32,330.264,8168.91,329.519,8167.49,328.769,8166.08,328.024,8164.8,327.274,12252.2,391.254
1,256,160.9,321.8,8462.78,321.8,8265.55,321.8,8087.63,321.8,17081.2,321.8,17521.6,321.8,17924.3,321.8,260.547,3103.2,257.02,6218.03,253.493,6210.4,249.966,6202.77,246.439,6195.27,242.912,6187.77,232.361,334.827,7381.53,333.943,7380.11,333.064,7378.68,332.179,7377.25,331.3,7375.96,330.416,11069,426.458
1,512,277.125,554.25,5917.72,554.25,5958.85,554.25,5995.06,554.25,13140.3,554.25,13657.6,554.25,14119,554.25,416.039,2458.09,408.876,4933.46,401.712,4925.63,394.548,4917.8,387.384,4910.11,380.22,4902.42,366.15,544.553,6035.45,542.756,6033.99,540.971,6032.53,539.174,6031.06,537.389,6029.74,535.592,9049.79,702.797
1,1024,701.424,1402.85,12026.3,1402.85,12558,1402.85,13012.1,1402.85,29237.3,1402.85,30626.6,1402.85,31846.9,1402.85,1007.61,5484.98,987.949,11020.6,968.291,11001.2,948.633,10981.8,928.975,10962.7,909.318,10943.6,879.365,1333.9,13654,1328.97,13650.4,1324.07,13646.8,1319.14,13643.1,1314.24,13639.8,1309.31,20472.6,1735.09
2,64,0,0,5895.52,0,3963.87,0,2196.29,0,6722.28,0,7962.46,0,9107.76,0,249.718,4366.39,245.419,8750.15,241.121,8724.33,236.822,8698.52,232.523,8673.21,228.224,8647.64,212.847,348.765,12135,347.687,12130.4,346.616,12125.5,345.538,12120.7,344.466,12116.3,343.388,18209.8,409.919
2,128,0,0,7628.84,0,6776.56,0,5997.4,0,13904.3,0,14514.1,0,15076.6,0,196.442,3639.88,193.053,7317.88,189.665,7298.06,186.276,7278.25,182.887,7258.82,179.498,7239.19,167.41,273.931,9393.49,273.081,9389.93,272.236,9386.19,271.386,9382.45,270.542,9379.08,269.692,14095.8,336.64
2,256,0,0,6351.2,0,6135.43,0,5940.82,0,13065.2,0,13662.1,0,14208,0,202.969,2872.34,198.994,5759.23,195.019,5749.68,191.044,5740.13,187.07,5730.76,183.095,5721.38,171.204,286.683,7381.95,285.686,7380.17,284.696,7378.38,283.699,7376.6,282.709,7374.98,281.711,11068.8,380.262
2,512,0,0,3439.58,0,3480.9,0,3517.28,0,8190.13,0,8709.78,0,9173.4,0,266.905,1843.13,260.014,3703.61,253.123,3695.74,246.232,3687.88,239.341,3680.15,232.45,3672.42,218.916,390.522,4810.74,388.793,4809.27,387.077,4807.8,385.348,4806.33,383.631,4805,381.903,7212.71,536.851
2,1024,0,0,3702.91,0,4044.69,0,4336.67,0,10750.4,0,11647.1,0,12434.7,0,429.966,2532.09,417.111,5096.99,404.257,5084.41,391.403,5071.82,378.548,5059.46,365.694,5047.09,346.108,643.329,6802.36,640.105,6800.01,636.902,6797.66,633.677,6795.3,630.475,6793.17,627.25,10198.1,904.301
