MemCellType,numRowSubArray/numColSubArray,Layer1,Layer2,Layer3,Layer4,Layer5,Layer6,Layer7,Layer8
1,64,1131.5,28106.5,22434.4,44745.6,54639.9,54013.4,167730,2627.32
1,128,1129.51,31115.4,21580.2,43545.9,51962.8,52490.7,165702,2595.39
1,256,983.628,26869,18469,37715.5,45870.2,47321.6,154062,2413.24
1,512,700.266,13419,11081.5,22463.3,30661.7,31266.7,112825,1767.84
1,1024,1582.08,20935.1,20479.1,40777.3,60958.3,60708.9,247000,3871.98
2,64,0,24741.6,28288.7,55968.3,81089.7,73610.4,180596,2830.14
2,128,0,24041.4,21084.1,42387.2,57396.6,54667.8,143423,2247.95
2,256,0,17868.1,15530.2,31278.9,44042,42737,127569,1999.53
2,512,0,7094.79,7967.37,16095.2,25260.3,24522.4,81627.2,1279.89
2,1024,0,4248.48,8651.69,17189.4,30261,30108,122979,1929.49
