MemCellType,numRowSubArray/numColSubArray,Layer1,Layer2,Layer3,Layer4,Layer5,Layer6,Layer7,Layer8
1,64,7.35314,182.652,145.791,290.781,355.08,351.009,1090,17.0738
1,128,7.35314,202.562,140.488,283.485,338.279,341.716,1078.73,16.8961
1,256,7.35314,200.86,138.066,281.944,342.904,353.754,1151.69,18.0402
1,512,7.35314,140.906,116.362,235.876,321.963,328.316,1184.72,18.5632
1,1024,14.7063,194.603,190.364,379.046,566.64,564.322,2296,35.992
2,64,0,146.672,167.7,331.789,480.713,436.374,1070.6,16.7776
2,128,0,159.43,139.82,281.091,380.626,362.53,951.109,13.9073
2,256,0,136.249,118.422,238.51,335.831,325.887,972.742,15.2468
2,512,0,81.8519,91.9188,185.689,279.889,282.913,941.727,14.766
2,1024,0,60.8719,123.961,246.289,433.578,431.387,1762.03,27.6456
