MemCellType,numRowSubArray/numColSubArray,Layer1,Layer2,Layer3,Layer4,Layer5,Layer6,Layer7,Layer8,Layer9,Layer10,Layer11,Layer12,Layer13,Layer14,Layer15,Layer16,Layer17,Layer18,Layer19,Layer20,Layer21,Layer22,Layer23,Layer24,Layer25,Layer26,Layer27,Layer28,Layer29,Layer30,Layer31,Layer32,Layer33,Layer34,Layer35,Layer36,Layer37,Layer38,Layer39,Layer40
1,64,46390.8,77709.6,51418.7,81289.1,59325.8,84868.6,67231,88448.1,68066,92027.6,68567,95607.1,69069.9,97260.4,33882.9,25686.8,34973.9,25895,36065,26001.8,37156,26108.7,38247,26213.6,39338.1,26318.6,43240.8,8745.12,4758.11,9018.81,4778.08,9290.63,4798.04,9564.33,4818.01,9836.15,4836.11,10109.8,4788.97,92.0096
1,128,45909.5,77574.8,42505,81166.1,47410.5,84757.4,52314.1,88348.6,52142.7,91939.9,52645.4,95531.2,53149.9,97190,33738.9,22256.6,34833.6,22231.4,35928.2,22338.6,37022.8,22445.8,38117.4,22551.1,39212.1,22656.4,43116.4,8710.15,4085.4,8984.74,4105.43,9257.46,4125.47,9532.06,4145.5,9804.78,4163.66,10079.4,4116.36,91.807
1,256,41322.7,67793,37336.9,71406,40463.4,75019.1,43588,78632.2,42812.7,82245.3,43318.4,85858.4,43826.1,87527.3,31294,20303.1,32395.2,20138.7,33496.5,20246.5,34597.8,20354.4,35699.1,20460.3,36800.4,20566.3,40094.8,8100.7,3701.01,8376.96,3721.17,8651.34,3741.32,8927.6,3761.48,9201.97,3779.74,9478.24,3732.16,120.71
1,512,36074.1,53931.9,35601.6,57858,37957.1,61784.1,40310.6,65710.2,39120.6,69636.3,39670.2,73562.4,40221.8,75375.9,29024.7,20464.1,30221.4,20205.5,31418.1,20322.7,32614.8,20439.9,33811.5,20555,35008.2,20670.2,37358.5,7557.15,3713.26,7857.34,3735.16,8155.49,3757.06,8455.69,3778.96,8753.83,3798.81,9054.03,3747.1,127.165
1,1024,46054,64803.1,48110.8,70403.3,50581,76003.6,53048.5,81603.8,51046.8,87204.1,51819,92804.3,52594.1,95391,38350.2,28186,40057.1,27750.1,41764.1,27917.3,43471.1,28084.4,45178,28248.7,46885,28412.9,49485.9,10017,5100.06,10445.2,5131.3,10870.5,5162.54,11298.7,5193.78,11724,5222.09,12152.2,5148.34,178.943
2,64,45573.2,76340,58892.4,79856.4,67585.1,83372.8,76274.2,86889.2,75567.5,90405.7,76452.4,93922.1,77341,95546.3,33285.7,30853.1,34357.5,30724.4,35429.3,30915.7,36501.1,31106.9,37573,31294.4,38644.8,31483.8,42478.7,8590.99,5648.79,8859.86,5683.09,9126.89,5719.22,9395.76,5755.35,9662.8,5787.81,9931.67,5613.03,90.388
2,128,45068.5,76153.7,46696.2,79679.2,52301.3,83204.7,57902.6,86730.2,56157.4,90255.7,57044.6,93781.2,57935.6,95409.6,33120.9,24975.1,34195.5,24606.3,35270,24798,36344.6,24989.7,37419.2,25177.7,38493.8,25367.6,42326.5,8550.59,4523.93,8820.15,4558.31,9087.88,4594.54,9357.44,4630.76,9625.16,4663.31,9894.73,4488.08,90.1252
2,256,40511.3,66461.9,39219.7,70004,42284.9,73546.2,45348.1,77088.3,44588,80630.5,45083.8,84172.6,45581.5,85808.7,30679.5,22182.1,31759.2,22020.9,32838.8,22126.6,33918.5,22232.4,34998.1,22336.2,36077.8,22440.1,39307.5,7941.64,4048.01,8212.48,4067.76,8481.47,4087.52,8752.31,4107.28,9021.3,4125.19,9292.13,4078.54,118.34
2,512,32850.1,49086.9,32403.4,52660.3,34547.2,56233.7,36689.3,59807.1,35606.2,63380.5,36106.4,66954,36608.4,68604.5,26417.3,18625.7,27506.5,18390.4,28595.7,18497,29684.8,18603.7,30774,18708.5,31863.2,18813.3,34002.4,6878.25,3379.68,7151.48,3399.61,7422.84,3419.54,7696.07,3439.48,7967.43,3457.54,8240.66,3410.48,115.741
2,1024,29895.5,42078.3,31237.5,45711.6,32847.7,49344.9,34456.1,52978.1,33165.1,56611.4,33673.6,60244.7,34184.1,61922.9,24880.4,18286.2,25987.9,18003.4,27095.3,18111.9,28202.7,18220.3,29310.1,18326.9,30417.6,18433.4,32105,6498.74,3308.77,6776.55,3329.03,7052.46,3349.3,7330.26,3369.57,7606.17,3387.94,7883.97,3340.08,116.093
