MemCellType,numRowSubArray/numColSubArray,Layer1,Layer2,Layer3,Layer4,Layer5,Layer6,Layer7,Layer8
1,64,2232240,19450900,8285430,14708300,5486790,9972400,931037,2138.04
1,128,2050400,17775200,7596310,13704700,5107110,9360780,870342,1957.64
1,256,1987640,17152600,7340410,13183900,4797270,8779260,820946,2177.72
1,512,1932470,16741300,7164210,12927700,4703640,8625410,803759,2671.4
1,1024,2326460,20515900,8705890,15295900,5552520,10126100,1577610,4035.37
2,64,2416080,18388700,7848190,13003800,4730930,8338060,808185,3334.4
2,128,1981540,15666500,6696920,11421000,4155780,7426970,714257,2525.47
2,256,1782560,14377100,6152740,10671300,3883620,6994630,669964,2440.68
2,512,1616330,13413400,5740390,10121600,3682750,6687840,637287,2587.04
2,1024,1910150,16111400,6866140,12027700,4372860,7973130,1227000,3696.39
