MemCellType,numRowSubArray/numColSubArray,Layer1,Layer2,Layer3,Layer4,Layer5,Layer6,Layer7,Layer8
1,64,153881,95136.1,40195.8,44266.1,12886,23504,955.826,469.321
1,128,153609,79301.8,36579.3,40662.9,12183.3,22722.9,945.38,470.594
1,256,133770,70136.8,34573.8,38682.2,11817,22358.4,920.716,503.017
1,512,95233.6,68607,35891.2,40355.5,12516,23937.8,940.801,610.387
1,1024,107579,93179.6,50124.2,56492.2,17644,33911.3,1304.81,868.215
2,64,168686,122864,63903.7,66954.6,21292.1,39778.1,1109.66,615.214
2,128,150795,92642.9,48796.7,51534.1,16385.4,30608.8,928.062,461.973
2,256,131143,81667.5,45138.8,49166.6,15716.9,30181.3,902.638,493.141
2,512,86678.3,62630.2,32666.9,36730.2,11391.6,21787.3,856.284,555.553
2,1024,69793.8,60641.8,32519.1,36650.5,11446.9,22000.6,848.415,563.272
